Capital,DOCK,Date Built M,Date Built Y,Date Priced M,Date Priced Y,GARDEN SPACE,Guarding Tower,House ID,Knights house,Location,Meridian1,Meridian2,Renovation,River,Royal Market,Time1,Time2,bathrooms,bedrooms,blessings,dining rooms,farm,pay,sorcerer,tree
0.256239,138.600639,4,1602,7,1609,0,14.394903,6e32cec0,10.505662,King's Landing,1,1,0,63.109038,69.486467,12.41,1.11,0,4,160,3,1,0,0,1
122.930753,10.998322,10,1603,10,1611,0,53.019891,6e32ceda,132.934312,The Mountains,0,1,0,17.045949,63.794375,11.14,7.4,3,3,37,4,2,0,0,1
80.970959,52.819705,3,1603,5,1610,0,70.965631,6e32cf09,91.425357,Cursed Land,1,0,0,6.548119,96.656914,3.53,9.36,3,2,79,2,1,0,0,1
4.331436,82.283966,8,1606,1,1608,0,119.126593,6e32cfa9,14.695102,Cursed Land,1,1,0,24.298255,29.043012,12.23,10.45,3,2,156,0,1,0,1,0
0,34.524141,9,1603,5,1611,0,222.341302,6e32cfb7,0,The Mountains,1,0,0,1.821655,6.740951,11.53,4.49,4,2,74,4,1,0,0,1
25.065928,38.877415,6,1601,6,1611,1,76.196189,6e32cfd5,35.568437,Servant's Premises,0,1,0,1.257721,0,1.25,4.13,3,3,135,3,2,0,0,0
4.570255,35.988844,1,1606,10,1610,0,157.877738,6e32d0c0,15.068711,The Mountains,0,0,0,15.756025,67.579542,12.5,9.13,4,3,155,2,1,0,0,1
107.184545,83.914728,11,1606,1,1611,0,147.898157,6e32d0f3,117.410316,The Mountains,0,1,0,55.592034,57.067604,11.22,11.32,4,4,53,2,1,0,1,0
101.610694,64.288283,1,1602,1,1607,0,204.669501,6e32d166,112.494554,The Mountains,1,0,0,60.009117,0,3.34,3.19,3,4,58,2,1,0,0,1
29.541134,59.504656,6,1605,3,1608,0,63.397907,6e32d234,40.454345,King's Landing,1,0,0,21.391704,3.36696,8.26,8.21,3,3,130,4,2,0,0,1
17.524012,74.890453,3,1604,10,1610,0,86.880636,6e32d244,27.65599,King's Landing,1,1,0,77.993602,0,2.45,6.15,3,4,142,0,1,0,0,1
55.12687,1.624838,3,1603,9,1611,0,163.885,6e32d266,65.487434,King's Landing,1,0,1,16.102894,0,7.45,1.14,4,4,105,0,1,0,1,0
23.920629,13.14006,9,1601,3,1608,0,154.780872,6e32d280,34.604391,King's Landing,1,0,0,15.867466,7.363083,6.51,5.42,2,4,136,3,1,0,0,1
67.262718,25.738221,2,1606,1,1608,1,84.042989,6e32d28a,77.441446,King's Landing,1,1,0,7.106701,31.8348,8.48,9.13,4,3,93,4,0,1,0,1
85.923206,86.072564,9,1604,10,1608,0,146.862456,6e32d2e0,96.73714,Cursed Land,0,0,0,12.638273,85.563521,5.28,3.28,3,2,74,2,1,0,1,0
22.260774,51.245386,3,1602,5,1607,0,96.415385,6e32d315,33.157025,No Location,1,1,0,5.789836,9.938782,2.21,11.32,3,0,138,0,2,0,0,0
16.638938,34.410733,12,1606,10,1609,0,50.512115,6e32d328,27.320449,The Mountains,0,0,1,15.00942,0,11.19,12.11,4,4,143,2,1,0,1,0
73.733494,67.171839,11,1602,8,1609,1,104.567561,6e32d349,84.146593,The Mountains,0,0,0,43.619874,22.279648,2.22,1.28,3,2,86,3,0,1,0,0
58.817801,61.21246,12,1606,9,1609,0,160.459915,6e32d3a6,69.088692,The Mountains,0,0,0,41.915869,5.643314,9.36,12.4,2,4,101,2,1,0,0,1
3.031959,8.423696,2,1603,9,1610,0,10.970801,6e32d3ad,13.114153,The Mountains,0,1,1,21.169758,31.432316,6.27,10.47,2,3,157,2,1,0,0,1
26.82009,0,4,1604,1,1611,0,91.361455,6e32d3f6,37.442226,The Mountains,0,0,0,41.862843,34.978795,6.55,3.36,4,2,133,3,1,0,0,0
6.002568,57.7146,8,1601,5,1607,0,32.106155,6e32d414,16.567206,The Mountains,0,0,0,2.87067,47.348837,4.52,5.32,0,3,154,4,1,0,0,1
153.3606,15.523291,8,1603,12,1607,0,0,6e32d456,163.658437,King's Landing,0,1,0,33.493852,32.174217,12.42,10.42,4,4,7,0,2,0,1,1
8.760628,0,8,1603,11,1612,1,30.021297,6e32d460,19.113862,Cursed Land,0,0,1,15.976977,124.305272,3.24,11.28,0,2,151,3,1,0,0,1
5.4904,42.570615,4,1603,12,1612,0,129.093289,6e32d46a,16.031784,Servant's Premises,1,1,0,69.237309,0,5.31,5.42,3,2,155,2,1,0,0,1
9.161377,24.68436,10,1606,3,1608,0,81.939551,6e32d493,20.134738,The Mountains,0,1,0,56.170727,0,8.17,3.32,4,3,151,2,1,0,0,1
39.952939,71.753065,10,1600,2,1612,0,18.206663,6e32d49f,50.871204,The Mountains,0,0,0,4.047991,0,5.36,7.52,2,2,120,4,1,0,0,1
16.090119,22.060342,3,1606,5,1608,1,146.852007,6e32d4dd,26.44061,No Location,1,0,0,4.032337,8.102772,7.37,4.45,2,4,144,2,1,0,0,1
105.408838,19.373454,6,1602,12,1611,1,111.202407,6e32d4fa,116.378343,The Mountains,1,1,1,18.14735,112.774373,4.18,5.22,2,3,55,3,1,0,0,1
68.347073,72.979347,9,1606,5,1609,0,21.463548,6e32d5b6,78.594989,No Location,0,1,0,14.622076,66.602162,6.3,9.42,4,2,92,4,1,0,0,1
41.525156,0,10,1604,11,1612,0,106.329489,6e32d5fa,52.058128,The Mountains,1,1,0,87.554465,80.659266,10.44,5.18,4,2,118,0,1,0,0,0
10.751593,26.366804,5,1602,8,1607,1,4.396858,6e32d621,21.519002,King's Landing,0,0,0,63.833387,20.160618,6.5,6.38,4,4,149,0,0,1,1,0
32.009381,83.12575,1,1600,7,1608,0,237.180909,6e32d653,42.844727,Servant's Premises,0,1,0,10.006391,6.967004,4.45,9.17,2,3,128,0,1,0,1,0
91.503244,104.336674,8,1605,7,1607,0,87.265123,6e32d65a,101.584846,The Mountains,0,0,0,43.742595,42.641175,12.26,4.2,4,2,68,3,1,0,0,0
