House ID,Golden Grains
6e33d031,1156023.55653
6e33d037,1451380.04068
6e33d03d,1561456.07991
6e33d043,1378453.84379
6e33d045,1360201.46158
6e33d049,1293710.57618
6e33d04d,1368329.24456
6e33d051,1151708.90391
6e33d053,1148005.79911
6e33d055,1148258.87528
6e33d05b,1119462.62811
6e33d05f,1158521.77661
6e33d062,1464422.30622
6e33d065,1616831.80085
6e33d067,1396473.10947
6e33d06b,1231298.1155
6e33d071,1467880.52104
6e33d075,1211230.59732
6e33d07a,1366259.7045
6e33d080,1141744.42587
6e33d083,1298189.99318
6e33d089,1293787.28053
6e33d08b,1496065.89464
6e33d08e,1073713.07295
6e33d090,1311812.47117
6e33d095,1470799.25852
6e33d098,1233158.51368
6e33d09a,1127292.14666
6e33d09d,1426154.74784
6e33d0a0,1273305.83236
6e33d0a5,1128424.45108
6e33d0a8,1381372.53944
6e33d0ac,1410106.66289
6e33d0b1,1404342.81659
6e33d0b5,1155469.72504
6e33d0ba,1426055.52076
6e33d0bc,1262203.31943
6e33d0c2,1380044.99704
6e33d0c6,1252418.56413
6e33d0cc,1528928.55973
6e33d0d1,1316705.6867
6e33d0d3,1499366.04688
6e33d0d5,1454189.33206
6e33d0d7,867436.99405
6e33d0dc,1519882.29787
6e33d0e0,1160922.15305
6e33d0e2,1358058.34302
6e33d0e4,1396063.89787
6e33d0e6,1299770.68762
6e33d0ea,1230924.64898
6e33d0ee,1408103.1623
6e33d0f4,1251282.0899
6e33d0f8,1375675.05397
6e33d0fd,1512948.01847
6e33d100,1271099.61327
6e33d103,1246949.46758
6e33d108,1135336.34479
6e33d10b,1505918.41267
6e33d110,1090290.27013
6e33d112,1020212.50107
6e33d117,1545246.19999
6e33d11c,1522085.21734
6e33d122,1211610.47584
6e33d127,1124409.73486
6e33d12c,1297825.09992
6e33d130,1302174.80862
6e33d136,1461127.79374
6e33d13a,1530351.20198
6e33d13e,1403728.71356
6e33d141,1316788.65319
6e33d147,1366304.00924
6e33d14b,1436960.357
6e33d14e,1045093.74637
6e33d151,965396.38697
6e33d154,1253962.91829
6e33d159,1283671.65388
6e33d15f,1420083.3087
6e33d162,1271542.0023
6e33d168,1329298.04543
6e33d16d,1214368.33706
